filename,report_id,status,word_count,sections_found,num_sections,file_size_mb,extraction_time_s,text_hash,error
AAR1403.pdf,AAR1403,success,37514,"Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",4,2.52,49.05,d518be2857c895ad,
AAR1402.pdf,AAR1402,success,57532,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,3.95,121.75,5cc8df336db737ce,
AAR1401.pdf,AAR1401,success,82238,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,4.63,149.56,69de2f48cdabecf7,
AAR1302.pdf,AAR1302,success,24923,"History of Flight, Pilot Information, Probable Cause, Findings",4,2.31,42.04,c9c44c8273e77d14,
AAR1301.pdf,AAR1301,success,20685,"History of Flight, Probable Cause, Findings",3,1.52,29.22,92ca9929955c7af4,
AAR1202.pdf,AAR1202,success,36875,"History of Flight, Probable Cause, Findings",3,1.1,53.21,5f3020578588ff20,
AAR1201.pdf,AAR1201,success,20760,"Probable Cause, Findings",2,0.99,31.74,48fe11bd10730bf7,
AAR1105.pdf,AAR1105,success,42198,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,1.68,59.68,8e4b9a3bec13ad5b,
AAR1104.pdf,AAR1104,success,38072,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,4.03,99.79,5642cef274373c3c,
AAR1103.pdf,AAR1103,success,38150,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,1.98,52.32,9b38252c403416a4,
AAR1102.pdf,AAR1102,success,50717,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,1.32,79.4,dc7b38a185e4c1d1,
AAR1101.pdf,AAR1101,success,54431,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,1.64,82.48,23102d68d83814b6,
AAR1006.pdf,AAR1006,success,69541,"Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",4,6.26,122.26,f5c2ee88a5fc0e88,
AAR1005.pdf,AAR1005,success,22925,"Pilot Information, Probable Cause, Findings",3,1.05,34.69,a9daae84db3f0b88,
AAR1004.pdf,AAR1004,success,36615,"Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",4,1.6,89.29,a3479c18995b96e8,
AAR1003.pdf,AAR1003,success,70451,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,5.72,209.28,36cc06a5f99c536f,
AAR1002.pdf,AAR1002,success,44927,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,2.54,113.73,2565e183607fa7bc,
AAR1001.pdf,AAR1001,success,116401,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,1.7,209.46,90b43a28c1e46c45,
AAR0906.pdf,AAR0906,success,38474,"Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",4,1.98,87.99,de09f37eebc531d7,
AAR0905.pdf,AAR0905,success,27289,"History of Flight, Meteorological Information, Wreckage and Impact Information, Probable Cause, Findings",5,2.76,39.78,099c73f9067d91c1,
AAR0904.pdf,AAR0904,success,20026,"Probable Cause, Findings",2,0.91,46.04,98d4059ecd085946,
